PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35964150,Chemical named entity recognition in the texts of scientific publications using the naïve Bayes classifier approach,"Tarasova OA, Rudik AV, Biziukova NY, Filimonov DA, Poroikov VV.",J Cheminform. 2022 Aug 13;14(1):55. doi: 10.1186/s13321-022-00633-4.,Tarasova OA,J Cheminform,2022,2022/08/13,PMC9375066,,10.1186/s13321-022-00633-4
35910813,Product pricing solutions using hybrid machine learning algorithm,"Namburu A, Selvaraj P, Varsha M.",Innov Syst Softw Eng. 2022 Jul 25:1-12. doi: 10.1007/s11334-022-00465-3. Online ahead of print.,Namburu A,Innov Syst Softw Eng,2022,2022/08/01,PMC9309595,,10.1007/s11334-022-00465-3
35919705,COVID-19 infection prediction from CT scan images of lungs using Iterative Convolution Neural Network model,"M M, P S.",Adv Eng Softw. 2022 Nov;173:103214. doi: 10.1016/j.advengsoft.2022.103214. Epub 2022 Jul 29.,M M,Adv Eng Softw,2022,2022/08/03,PMC9335012,,10.1016/j.advengsoft.2022.103214
35909945,Follow-up COVID-19 PCR result up to day 5 with clinical features predicts positivity for inconclusive results,"Park SS, Hong DJ, Gatchalian KK, Oh HY.",J Clin Virol Plus. 2022 Aug;2(3):100100. doi: 10.1016/j.jcvp.2022.100100. Epub 2022 Jul 23.,Park SS,J Clin Virol Plus,2022,2022/08/01,PMC9308491,,10.1016/j.jcvp.2022.100100
35891245,Real-World Effectiveness of Mix-and-Match Vaccine Regimens against SARS-CoV-2 Delta Variant in Thailand: A Nationwide Test-Negative Matched Case-Control Study,"Suphanchaimat R, Nittayasoot N, Jiraphongsa C, Thammawijaya P, Bumrungwong P, Tulyathan A, Cheewaruangroj N, Pittayawonganon C, Tharmaphornpilas P.",Vaccines (Basel). 2022 Jul 5;10(7):1080. doi: 10.3390/vaccines10071080.,Suphanchaimat R,Vaccines (Basel),2022,2022/07/27,PMC9315782,,10.3390/vaccines10071080
35900859,Detection of SARS-CoV-2 infection in thyroid follicular cells from a COVID-19 autopsy series,"Macedo S, Pestana A, Santos L, Neves C, Guimarães S, Duarte-Neto A, Dolhnikoff M, Saldiva P, Alves G, Oliveira R, Cabanes D, Carneiro F, Sobrinho-Simões M, Soares P.",Eur Thyroid J. 2022 Jul 19;11(4):e220074. doi: 10.1530/ETJ-22-0074. Print 2022 Aug 1.,Macedo S,Eur Thyroid J,2022,2022/07/28,PMC9346336,,10.1530/ETJ-22-0074
35918837,Increased Body Mass Index and Metabolic Syndrome Are Associated with Poor Outcomes in SARS-CoV-2-Positive Emergency Department Patients,"Thoppil JJ, Stewart LK, Pung L, Nordenholz KE, Camargo CA, Courtney DM, Kline JA; RECOVER Network.",J Obes Metab Syndr. 2022 Sep 30;31(3):245-253. doi: 10.7570/jomes22011. Epub 2022 Aug 3.,Thoppil JJ,J Obes Metab Syndr,2022,2022/08/03,PMC9579471,,10.7570/jomes22011
35922645,Assessing the impact of long-term exposure to nine outdoor air pollutants on COVID-19 spatial spread and related mortality in 107 Italian provinces,Perone G.,Sci Rep. 2022 Aug 3;12(1):13317. doi: 10.1038/s41598-022-17215-x.,Perone G,Sci Rep,2022,2022/08/03,PMC9349267,,10.1038/s41598-022-17215-x
35956046,Lower SARS-CoV-2 Seroprevalence among Cancer Patients in Sub-Saharan Africa,"Tso FY, Lidenge SJ, Ngowi JR, Peña PB, Clegg AA, Ngalamika O, Mwita CJ, Mwaiselage J, Wood C.",J Clin Med. 2022 Jul 29;11(15):4428. doi: 10.3390/jcm11154428.,Tso FY,J Clin Med,2022,2022/08/12,PMC9369079,,10.3390/jcm11154428
35957970,Evaluation of a novel SARS-CoV-2 rapid antigenic test diagnostic value in respiratory samples; is the reported test accuracy similar to values in the real-world? A cross-sectional study,"Hatami H, Rezaeian A.",Health Sci Rep. 2022 Aug 10;5(5):e765. doi: 10.1002/hsr2.765. eCollection 2022 Sep.,Hatami H,Health Sci Rep,2022,2022/08/12,PMC9364431,,10.1002/hsr2.765
35891675,Nosocomial COVID-19. Prospective study in a referral hospital,"Escolà-Vergé L, Borràs-Bermejo B, Los-Arcos I, Esperalba J, Ferrer C, Fernández-Hidalgo N.",Med Clin (Engl Ed). 2022 Aug 12;159(3):134-136. doi: 10.1016/j.medcle.2021.07.025. Epub 2022 Jul 22.,Escolà-Vergé L,Med Clin (Engl Ed),2022,2022/07/27,PMC9304152,,10.1016/j.medcle.2021.07.025
35915660,Real-time assessment of the Ganga river during pandemic COVID-19 and predictive data modeling by machine learning,"Singh J, Swaroop S, Sharma P, Mishra V.",Int J Environ Sci Technol (Tehran). 2023;20(7):7887-7910. doi: 10.1007/s13762-022-04423-1. Epub 2022 Jul 27.,Singh J,Int J Environ Sci Technol (Tehran),2023,2022/08/02,PMC9328014,,10.1007/s13762-022-04423-1
35974970,The Role of Oral Health in the Acquisition and Severity of SARS-CoV-2: A Retrospective Chart Review,"Wadhwa S, Dave S, Daily ML, Nardone A, Li R, Rosario J, Cantos A, Shah J, Lu HH, McMahon DJ, Yin MT.",Saudi Dent J. 2022 Nov;34(7):596-603. doi: 10.1016/j.sdentj.2022.08.001. Epub 2022 Aug 12.,Wadhwa S,Saudi Dent J,2022,2022/08/17,PMC9371763,,10.1016/j.sdentj.2022.08.001
35971342,Assessment of SARS-CoV-2-Infected Patients and Their Clinical Outcomes During the Third Wave in India: A Single-Center Observational Study,"Shahapur PR, Shahapur R, Kandi V, Suvvari TK, Vadakedath S.",Cureus. 2022 Jul 13;14(7):e26807. doi: 10.7759/cureus.26807. eCollection 2022 Jul.,Shahapur PR,Cureus,2022,2022/08/16,PMC9373877,,10.7759/cureus.26807
35941407,Deep Learning-Based Time-to-Death Prediction Model for COVID-19 Patients Using Clinical Data and Chest Radiographs,"Matsumoto T, Walston SL, Walston M, Kabata D, Miki Y, Shiba M, Ueda D.",J Digit Imaging. 2023 Feb;36(1):178-188. doi: 10.1007/s10278-022-00691-y. Epub 2022 Aug 8.,Matsumoto T,J Digit Imaging,2023,2022/08/08,PMC9360661,,10.1007/s10278-022-00691-y
35948797,Multi-region machine learning-based novel ensemble approaches for predicting COVID-19 pandemic in Africa,"Ibrahim Z, Tulay P, Abdullahi J.",Environ Sci Pollut Res Int. 2023 Jan;30(2):3621-3643. doi: 10.1007/s11356-022-22373-6. Epub 2022 Aug 11.,Ibrahim Z,Environ Sci Pollut Res Int,2023,2022/08/10,PMC9365685,,10.1007/s11356-022-22373-6
35891677,Design and finite element modeling of two-dimensional nanomechanical biosensors for SARS-CoV-2 detection,"Payandehpeyman J, Parvini N, Moradi K, Hashemian N.",Diam Relat Mater. 2022 Oct;128:109263. doi: 10.1016/j.diamond.2022.109263. Epub 2022 Jul 22.,Payandehpeyman J,Diam Relat Mater,2022,2022/07/27,PMC9303063,,10.1016/j.diamond.2022.109263
35894016,Mortality Prediction Analysis among COVID-19 Inpatients Using Clinical Variables and Deep Learning Chest Radiography Imaging Features,"Nguyen XV, Dikici E, Candemir S, Ball RL, Prevedello LM.",Tomography. 2022 Jul 13;8(4):1791-1803. doi: 10.3390/tomography8040151.,Nguyen XV,Tomography,2022,2022/07/27,PMC9326627,,10.3390/tomography8040151
35915598,Explainable features responsible for the high or low spread of SARS-CoV-2: Africa in view,"Akintande OJ, Olubusoye OE, Yaya OS, Abiodun AO.",Sci Afr. 2022 Sep;17:e01301. doi: 10.1016/j.sciaf.2022.e01301. Epub 2022 Jul 28.,Akintande OJ,Sci Afr,2022,2022/08/02,PMC9330361,,10.1016/j.sciaf.2022.e01301
35946045,"The impact of an enhanced health surveillance system for COVID-19 management in Serrana, Brazil","Ferreira NN, Garibaldi PMM, Moraes GR, Moura JC, Klein TM, Machado LE, Scofoni LFB, Haddad SK, Calado RT, Covas DT, Fonseca BAL, Palacios R, Conde MTRP, Borges MC.",Public Health Pract (Oxf). 2022 Dec;4:100301. doi: 10.1016/j.puhip.2022.100301. Epub 2022 Aug 5.,Ferreira NN,Public Health Pract (Oxf),2022,2022/08/10,PMC9354446,,10.1016/j.puhip.2022.100301
35923316,"High Frequencies of Phenotypically and Functionally Senescent and Exhausted CD56 (+) CD57 (+) PD-1 (+) Natural Killer Cells, SARS-CoV-2-Specific Memory CD4 (+) and CD8 (+) T cells Associated with Severe Disease in Unvaccinated COVID-19 Patients","Srivastava R, Dhanushkodi N, Prakash S, Coulon PG, Vahed H, Zayou L, Quadiri A, BenMohamed L.",bioRxiv. 2022 Jul 27:2022.07.26.501655. doi: 10.1101/2022.07.26.501655. Preprint.,Srivastava R,bioRxiv,2022,2022/08/04,PMC9347283,,10.1101/2022.07.26.501655
35891289,Assessment of Clinical Profile and Treatment Outcome in Vaccinated and Unvaccinated SARS-CoV-2 Infected Patients,"Korishettar G, Chikkahonnaiah P, Tulimilli SV, Dallavalasa S, Byrappa SH, Madhunapantula SV, Veeranna RP.",Vaccines (Basel). 2022 Jul 15;10(7):1125. doi: 10.3390/vaccines10071125.,Korishettar G,Vaccines (Basel),2022,2022/07/27,PMC9321523,,10.3390/vaccines10071125
35910043,Deep Content Information Retrieval for COVID-19 Detection from Chromatic CT Scans,"Sassi A, Ouarda W, Amar CB.",Arab J Sci Eng. 2023;48(2):1935-1945. doi: 10.1007/s13369-022-07083-y. Epub 2022 Jul 22.,Sassi A,Arab J Sci Eng,2023,2022/08/01,PMC9306422,,10.1007/s13369-022-07083-y
35917440,Omicron-associated changes in SARS-CoV-2 symptoms in the United Kingdom,"Vihta KD, Pouwels KB, Peto TE, Pritchard E, House T, Studley R, Rourke E, Cook D, Diamond I, Crook D, Clifton DA, Matthews PC, Stoesser N, Eyre DW, Walker AS; COVID-19 Infection Survey team.",Clin Infect Dis. 2022 Aug 3;76(3):e133-41. doi: 10.1093/cid/ciac613. Online ahead of print.,Vihta KD,Clin Infect Dis,2022,2022/08/02,PMC9384604,,10.1093/cid/ciac613
35975194,Correlations between the urban built environmental factors and the spatial distribution at the community level in the reported COVID-19 samples: A case study of Wuhan,"Wang J, Zeng F, Tang H, Wang J, Xing L.",Cities. 2022 Oct;129:103932. doi: 10.1016/j.cities.2022.103932. Epub 2022 Aug 12.,Wang J,Cities,2022,2022/08/17,PMC9372090,,10.1016/j.cities.2022.103932
35938065,Factors associated with inpatient complications among patients with obesity and COVID-19 at an urban safety-net hospital: A retrospective cohort study,"Ryan TJ, Heyman AS, Mulvey EN, McLaughlin A, Rizo IM, Assoumou SA.",Obes Sci Pract. 2022 Aug 15;8(6):794-800. doi: 10.1002/osp4.623. Online ahead of print.,Ryan TJ,Obes Sci Pract,2022,2022/08/08,PMC9347368,,10.1002/osp4.623
35948951,A pre-vaccine exploratory survey of SARS-CoV-2 humoral immunity among Egyptian general population,"El-Ghitany EM, Farag S, Farghaly AG, Hashish MH, Hassaan MA, Omran EA.",Trop Med Health. 2022 Aug 10;50(1):53. doi: 10.1186/s41182-022-00448-x.,El-Ghitany EM,Trop Med Health,2022,2022/08/10,PMC9364299,,10.1186/s41182-022-00448-x
35955979,Recovering or Persisting: The Immunopathological Features of SARS-CoV-2 Infection in Children,"Buonsenso D, Valentini P, De Rose C, Tredicine M, Pereyra Boza MDC, Camponeschi C, Morello R, Zampino G, Brooks AES, Rende M, Ria F, Sanguinetti M, Delogu G, Sali M, Di Sante G, On Behalf Of The Gemelli-Pediatric Covid-Team.",J Clin Med. 2022 Jul 27;11(15):4363. doi: 10.3390/jcm11154363.,Buonsenso D,J Clin Med,2022,2022/08/12,PMC9369242,,10.3390/jcm11154363
35936568,COVID-19 infection rate after urgent versus elective total hip replacement among unvaccinated individuals: A multicenter prospective cohort amid the COVID-19 pandemic,"Mirghaderi SP, Sheikhbahaei E, Salimi M, Mirghaderi SR, Ahmadi N, Moharrami A, Motififard M, Mortazavi SMJ.",Ann Med Surg (Lond). 2022 Aug;80:104307. doi: 10.1016/j.amsu.2022.104307. Epub 2022 Aug 1.,Mirghaderi SP,Ann Med Surg (Lond),2022,2022/08/08,PMC9343069,,10.1016/j.amsu.2022.104307
35945005,"Outcomes of Interferon-free Treatment of Hepatitis C Virus Infection Seven Years after Approval and Problems with Drop out during and after Treatment: A Retrospective, Single-center Study","Watanabe M, Yokomori H, Kitahara G, Uehara K, Koyama S, Minamino T, Otsuka T, Kaneko T, Tahara K, Kida M.",Intern Med. 2022 Oct 15;61(20):3017-3028. doi: 10.2169/internalmedicine.0036-22. Epub 2022 Aug 10.,Watanabe M,Intern Med,2022,2022/08/09,PMC9646348,,10.2169/internalmedicine.0036-22
35891301,COVID-19 Outbreak and BNT162b2 mRNA Vaccination Coverage in a Correctional Facility during Circulation of the SARS-CoV-2 Omicron BA.1 Variant in Italy,"Stufano A, Buonvino N, Trombetta CM, Pontrelli D, Marchi S, Lobefaro G, De Benedictis L, Lorusso E, Carofiglio MT, Vasinioti VI, Montomoli E, Decaro N, Lovreglio P.",Vaccines (Basel). 2022 Jul 17;10(7):1137. doi: 10.3390/vaccines10071137.,Stufano A,Vaccines (Basel),2022,2022/07/27,PMC9315621,,10.3390/vaccines10071137
35891240,Determinants of COVID-19 Vaccine Uptake and Acceptability in the Horn of Africa: Evidence from Somaliland,"Sulub SA, Mohamed MA.",Vaccines (Basel). 2022 Jul 4;10(7):1076. doi: 10.3390/vaccines10071076.,Sulub SA,Vaccines (Basel),2022,2022/07/27,PMC9323273,,10.3390/vaccines10071076
35909141,The combined effect of policy changes and the covid-19 pandemic on the same day discharge and complications following total hip arthroplasty: a nationwide analysis,"Gordon AM, Magruder ML, Ng MK, Sheth BK, Conway CA, Hang Jason Wong C.",Arthroplasty. 2022 Aug 1;4(1):28. doi: 10.1186/s42836-022-00131-w.,Gordon AM,Arthroplasty,2022,2022/07/31,PMC9340697,,10.1186/s42836-022-00131-w
35898341,The First Geographic Identification by Country of Sustainable Mutations of SARS-COV2 Sequence Samples: Worldwide Natural Selection Trends,"Mahmanzar M, Houseini ST, Rahimian K, Namini AM, Gholamzad A, Tokhanbigli S, Sisakht MM, Farhadi A, Kuehu DL, Deng Y.",bioRxiv. 2022 Jul 19:2022.07.18.500565. doi: 10.1101/2022.07.18.500565. Preprint.,Mahmanzar M,bioRxiv,2022,2022/07/28,PMC9327626,,10.1101/2022.07.18.500565
35915784,Omicron SARS-CoV-2 epidemic in England during February 2022: A series of cross-sectional community surveys,"Chadeau-Hyam M, Tang D, Eales O, Bodinier B, Wang H, Jonnerby J, Whitaker M, Elliott J, Haw D, Walters CE, Atchison C, Diggle PJ, Page AJ, Ashby D, Barclay W, Taylor G, Cooke G, Ward H, Darzi A, Donnelly CA, Elliott P.",Lancet Reg Health Eur. 2022 Oct;21:100462. doi: 10.1016/j.lanepe.2022.100462. Epub 2022 Jul 28.,Chadeau-Hyam M,Lancet Reg Health Eur,2022,2022/08/02,PMC9330654,,10.1016/j.lanepe.2022.100462
35937201,DC-CNN: Dual-channel Convolutional Neural Networks with attention-pooling for fake news detection,"Ma K, Tang C, Zhang W, Cui B, Ji K, Chen Z, Abraham A.",Appl Intell (Dordr). 2023;53(7):8354-8369. doi: 10.1007/s10489-022-03910-9. Epub 2022 Aug 1.,Ma K,Appl Intell (Dordr),2023,2022/08/08,PMC9340725,,10.1007/s10489-022-03910-9
35892491,Strong Correlations between the Binding Antibodies against Wild-Type and Neutralizing Antibodies against Omicron BA.1 and BA.2 Variants of SARS-CoV-2 in Individuals Following Booster (Third-Dose) Vaccination,"Suntronwong N, Assawakosri S, Kanokudom S, Yorsaeng R, Auphimai C, Thongmee T, Vichaiwattana P, Duangchinda T, Chantima W, Pakchotanon P, Chansaenroj J, Nilyanimit P, Srimuan D, Thatsanatorn T, Sudhinaraset N, Wanlapakorn N, Mongkolsapaya J, Poovorawan Y.",Diagnostics (Basel). 2022 Jul 22;12(8):1781. doi: 10.3390/diagnostics12081781.,Suntronwong N,Diagnostics (Basel),2022,2022/07/27,PMC9394243,,10.3390/diagnostics12081781
35935808,Influence of smoking history on the evolution of hospitalized in COVID-19 positive patients: Results from the SEMI-COVID-19 registry,"Navas Alcántara MS, Montero Rivas L, Guisado Espartero ME, Rubio-Rivas M, Ayuso García B, Moreno Martinez F, Ausín García C, Taboada Martínez ML, Arnalich Fernández F, Martínez Murgui R, Molinos Castro S, Ramos Muñoz ME, Fernández-Garcés M, Carreño Hernandez MC, García García GM, Vázquez Piqueras N, Abadía-Otero J, Lajara Villar L, Salazar Monteiro C, Pascual Pérez MLR, Perez-Martin S, Collado-Aliaga J, Antón-Santos JM, Lumbreras-Bermejo C; SEMI-COVID19 group.",Med Clin (Engl Ed). 2022 Sep 9;159(5):214-223. doi: 10.1016/j.medcle.2022.07.010. Epub 2022 Aug 1.,Navas Alcántara MS,Med Clin (Engl Ed),2022,2022/08/08,PMC9339973,,10.1016/j.medcle.2022.07.010
35959415,Seroprevalence and infection fatality rate of the SARS-CoV-2 Omicron variant in Denmark: A nationwide serosurveillance study,"Erikstrup C, Laksafoss AD, Gladov J, Kaspersen KA, Mikkelsen S, Hindhede L, Boldsen JK, Jørgensen SW, Ethelberg S, Holm DK, Bruun MT, Nissen J, Schwinn M, Brodersen T, Mikkelsen C, Sækmose SG, Sørensen E, Harritshøj LH, Aagaard B, Dinh KM, Busch MP, Jørgensen CS, Krause TG, Ullum H, Ostrowski SR, Espenhain L, Pedersen OBV.",Lancet Reg Health Eur. 2022 Oct;21:100479. doi: 10.1016/j.lanepe.2022.100479. Epub 2022 Aug 5.,Erikstrup C,Lancet Reg Health Eur,2022,2022/08/12,PMC9355516,,10.1016/j.lanepe.2022.100479
35911611,Novel aerosol detection platform for SARS‑CoV‑2: Based on specific magnetic nanoparticles adsorption sampling and digital droplet PCR detection,"Chen H, Ma X, Zhang X, Hu G, Deng Y, Li S, Chen Z, He N, Wu Y, Jiang Z.",Chin Chem Lett. 2023 Jan;34(1):107701. doi: 10.1016/j.cclet.2022.07.044. Epub 2022 Jul 23.,Chen H,Chin Chem Lett,2023,2022/08/01,PMC9308147,,10.1016/j.cclet.2022.07.044
35936352,Improved seagull optimization algorithm of partition and XGBoost of prediction for fuzzy time series forecasting of COVID-19 daily confirmed,"Xian S, Chen K, Cheng Y.",Adv Eng Softw. 2022 Nov;173:103212. doi: 10.1016/j.advengsoft.2022.103212. Epub 2022 Aug 1.,Xian S,Adv Eng Softw,2022,2022/08/08,PMC9340105,,10.1016/j.advengsoft.2022.103212
35937428,Propofol infusion syndrome & COVID-19 in a victim of multiple gunshot wounds: Diagnostic and therapeutic dilemmas,"Lew FH, Chang KM, Singares ES.",Trauma Case Rep. 2022 Oct;41:100687. doi: 10.1016/j.tcr.2022.100687. Epub 2022 Aug 1.,Lew FH,Trauma Case Rep,2022,2022/08/08,PMC9343066,,10.1016/j.tcr.2022.100687
35936119,Cycle Threshold Value as a Predictor of Severity and Intensive Care Unit Admission for Children Presenting to the Emergency Department With COVID-19: A Single-Center Experience From Saudi Arabia,"Al-Shareef AS, Shirah B, Dabroom M, Ahmed MM, Aljohani KA, Al Dabbagh MA, Ramadan M, Hakami F.",Cureus. 2022 Jul 6;14(7):e26614. doi: 10.7759/cureus.26614. eCollection 2022 Jul.,Al-Shareef AS,Cureus,2022,2022/08/08,PMC9355839,,10.7759/cureus.26614
35968407,Towards smart surveillance as an aftereffect of COVID-19 outbreak for recognition of face masked individuals using YOLOv3 algorithm,"Kumar S, Yadav D, Gupta H, Kumar M, Verma OP.",Multimed Tools Appl. 2023;82(6):8381-8403. doi: 10.1007/s11042-021-11560-1. Epub 2022 Jul 30.,Kumar S,Multimed Tools Appl,2023,2022/08/15,PMC9362536,,10.1007/s11042-021-11560-1
35945962,Urban spatial risk prediction and optimization analysis of POI based on deep learning from the perspective of an epidemic,"Zhang Y, Zhang Q, Zhao Y, Deng Y, Zheng H.",Int J Appl Earth Obs Geoinf. 2022 Aug;112:102942. doi: 10.1016/j.jag.2022.102942. Epub 2022 Aug 5.,Zhang Y,Int J Appl Earth Obs Geoinf,2022,2022/08/10,PMC9353319,,10.1016/j.jag.2022.102942
35941886,Haematological and biochemical pathology markers for a predictive model for ITU admission and death from COVID-19: A retrospective study,"Rasarathnam A, Haynes-Smith T, Wassif WS, Dodd MS.",EJHaem. 2022 Jul 12;3(3):660-668. doi: 10.1002/jha2.529. eCollection 2022 Aug.,Rasarathnam A,EJHaem,2022,2022/08/09,PMC9349926,,10.1002/jha2.529
35956112,Prognostic Value of Catestatin in Severe COVID-19: An ICU-Based Study,"Kljakovic-Gaspic T, Tokic D, Martinovic D, Kumric M, Supe-Domic D, Stojanovic Stipic S, Delic N, Vrdoljak J, Vilovic M, Ticinovic Kurir T, Bozic J.",J Clin Med. 2022 Aug 2;11(15):4496. doi: 10.3390/jcm11154496.,Kljakovic-Gaspic T,J Clin Med,2022,2022/08/12,PMC9369405,,10.3390/jcm11154496
35927227,A fast online questionnaire for screening mental illness symptoms during the COVID-19 pandemic,"Chen F, Yan W, Calhoun VD, Yu L, Chen L, Hao X, Zheng L.",Transl Psychiatry. 2022 Aug 4;12(1):311. doi: 10.1038/s41398-022-02086-7.,Chen F,Transl Psychiatry,2022,2022/08/04,PMC9352665,,10.1038/s41398-022-02086-7
35919086,Severe and critical SARS-COV-2 delta variant infection in infants without underlying medical conditions,"Borgi A, Louati A, Miraoui A, Lahmar L, Mefteh K, Hajji A, Ayari A, Bouziri A, Menif K, Smaoui H, Benjaballah N.",Respirol Case Rep. 2022 Jul 30;10(9):e01012. doi: 10.1002/rcr2.1012. eCollection 2022 Sep.,Borgi A,Respirol Case Rep,2022,2022/08/03,PMC9338701,,10.1002/rcr2.1012
35924778,Soluble Urokinase Plasminogen Activator Receptor and Venous Thromboembolism in COVID-19,"Luo S, Vasbinder A, Du-Fay-de-Lavallaz JM, Gomez JMD, Suboc T, Anderson E, Tekumulla A, Shadid H, Berlin H, Pan M, Azam TU, Khaleel I, Padalia K, Meloche C, O'Hayer P, Catalan T, Blakely P, Launius C, Amadi KM, Pop-Busui R, Loosen SH, Chalkias A, Tacke F, Giamarellos-Bourboulis EJ, Altintas I, Eugen-Olsen J, Williams KA, Volgman AS, Reiser J, Hayek SS; ISIC (International Study of Inflammation in COVID‐19) Group.",J Am Heart Assoc. 2022 Sep 20;11(18):e025198. doi: 10.1161/JAHA.122.025198. Epub 2022 Aug 4.,Luo S,J Am Heart Assoc,2022,2022/08/04,PMC9683642,,10.1161/JAHA.122.025198
